> Task :spotbugsMain
M V EI: io.github.fvarrui.javapackager.model.MacConfig.getInfoPlist() may expose internal representation by returning MacConfig.infoPlist  At MacConfig.java:[line 264]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.packagers.MacPackager$1.visitFile(Path, BasicFileAttributes) due to return value of called method  Dereferenced at MacPackager.java:[line 357]
M B ENV: It is preferable to use portable Java property 'java.home' instead of environment variable 'JAVA_HOME' in method io.github.fvarrui.javapackager.packagers.Context.getDefaultToolchain().  At Context.java:[line 91]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.scripts(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.scripts  At PackagePluginExtension.java:[line 86]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.macConfig(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.macConfig  At PackagePluginExtension.java:[line 68]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.linuxConfig(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.linuxConfig  At PackagePluginExtension.java:[line 62]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.winConfig(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.winConfig  At PackagePluginExtension.java:[line 74]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.manifest(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.manifest  At PackagePluginExtension.java:[line 80]
M V EI2: new io.github.fvarrui.javapackager.gradle.PackagePluginExtension(Project) may expose internal representation by storing an externally mutable object into PackagePluginExtension.project  At PackagePluginExtension.java:[line 28]
M V EI2: io.github.fvarrui.javapackager.model.WindowsConfig.setRegistry(Registry) may expose internal representation by storing an externally mutable object into WindowsConfig.registry  At WindowsConfig.java:[line 274]
M V EI: io.github.fvarrui.javapackager.model.WindowsConfig.getSigning() may expose internal representation by returning WindowsConfig.signing  At WindowsConfig.java:[line 262]
M V EI2: io.github.fvarrui.javapackager.model.WindowsConfig.setSetupLanguages(LinkedHashMap) may expose internal representation by storing an externally mutable object into WindowsConfig.setupLanguages  At WindowsConfig.java:[line 250]
M V EI2: io.github.fvarrui.javapackager.model.WindowsConfig.setSigning(WindowsSigning) may expose internal representation by storing an externally mutable object into WindowsConfig.signing  At WindowsConfig.java:[line 266]
M V EI: io.github.fvarrui.javapackager.model.WindowsConfig.getRegistry() may expose internal representation by returning WindowsConfig.registry  At WindowsConfig.java:[line 270]
M V EI: io.github.fvarrui.javapackager.model.WindowsConfig.getSetupLanguages() may expose internal representation by returning WindowsConfig.setupLanguages  At WindowsConfig.java:[line 246]
H I Dm: Found reliance on default encoding in io.github.fvarrui.javapackager.utils.CommandUtils.executeWithResult(File, String, Object[]): new java.io.InputStreamReader(InputStream)  At CommandUtils.java:[line 56]
H I Dm: Found reliance on default encoding in io.github.fvarrui.javapackager.utils.CommandUtils.run(String): new java.io.InputStreamReader(InputStream)  At CommandUtils.java:[line 82]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.utils.FileUtils.findFiles(File, String) due to return value of called method  Method invoked at FileUtils.java:[line 293]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.utils.FileUtils.findFirstFile(File, String) due to return value of called method  Method invoked at FileUtils.java:[line 305]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.utils.FileUtils.moveFolderContentToFolder(File, File) due to return value of called method  Dereferenced at FileUtils.java:[line 180]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.utils.FileUtils.copyFolderContentToFolder(File, File) due to return value of called method  Dereferenced at FileUtils.java:[line 152]
M X OBL: io.github.fvarrui.javapackager.utils.FileUtils.writeStringToFileWithBOM(File, String) may fail to clean up java.io.OutputStream on checked exception  Obligation to clean up resource created at FileUtils.java:[line 361] is not discharged
M X OBL: io.github.fvarrui.javapackager.utils.FileUtils.concat(File, File[]) may fail to clean up java.io.OutputStream on checked exception  Obligation to clean up resource created at FileUtils.java:[line 116] is not discharged
M B RV: Exceptional return value of java.io.File.mkdirs() ignored in io.github.fvarrui.javapackager.utils.FileUtils.mkdir(File)  At FileUtils.java:[line 46]
M B RV: Exceptional return value of java.io.File.mkdirs() ignored in io.github.fvarrui.javapackager.utils.FileUtils.copyFolderContentToFolder(File, File)  At FileUtils.java:[line 149]
M B RV: Exceptional return value of java.io.File.mkdirs() ignored in io.github.fvarrui.javapackager.utils.FileUtils.moveFileToFolder(File, File)  At FileUtils.java:[line 196]
M B RV: Exceptional return value of java.io.File.renameTo(File) ignored in io.github.fvarrui.javapackager.utils.FileUtils.rename(File, String)  At FileUtils.java:[line 282]
M V EI: io.github.fvarrui.javapackager.gradle.GradleContext.getLibraryTask() may expose internal representation by returning GradleContext.libraryTask  At GradleContext.java:[line 76]
M V EI2: io.github.fvarrui.javapackager.gradle.GradleContext.setLibraryTask(Launch4jLibraryTask) may expose internal representation by storing an externally mutable object into GradleContext.libraryTask  At GradleContext.java:[line 80]
M V EI2: new io.github.fvarrui.javapackager.gradle.GradleContext(Project) may expose internal representation by storing an externally mutable object into GradleContext.project  At GradleContext.java:[line 28]
M V EI: io.github.fvarrui.javapackager.gradle.GradleContext.getProject() may expose internal representation by returning GradleContext.project  At GradleContext.java:[line 36]
M V EI: io.github.fvarrui.javapackager.packagers.Packager.getClasspaths() may expose internal representation by returning Packager.classpaths  At Packager.java:[line 78]
M B RV: Exceptional return value of java.io.File.mkdirs() ignored in io.github.fvarrui.javapackager.packagers.Packager.createAppStructure()  At Packager.java:[line 359]
M B CT: Exception thrown in class io.github.fvarrui.javapackager.utils.RcEdit at new io.github.fvarrui.javapackager.utils.RcEdit(File) will leave the constructor. The object under construction remains partially initialized and may be vulnerable to Finalizer attacks.  At RcEdit.java:[line 16]
M B CT: Exception thrown in class io.github.fvarrui.javapackager.utils.RcEdit at new io.github.fvarrui.javapackager.utils.RcEdit() will leave the constructor. The object under construction remains partially initialized and may be vulnerable to Finalizer attacks.  At RcEdit.java:[line 20]
M B OS: io.github.fvarrui.javapackager.packagers.CreateWindowsExeWinRun4j.doApply(WindowsPackager) may fail to close stream  At CreateWindowsExeWinRun4j.java:[line 146]
M X OBL: io.github.fvarrui.javapackager.packagers.CreateWindowsExeWinRun4j.doApply(WindowsPackager) may fail to clean up java.io.OutputStream  Obligation to clean up resource created at CreateWindowsExeWinRun4j.java:[line 146] is not discharged
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.linuxConfig(Closure) may expose internal representation by returning PackageTask.linuxConfig  At PackageTask.java:[line 306]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setVmArgs(List) may expose internal representation by storing an externally mutable object into PackageTask.vmArgs  At PackageTask.java:[line 444]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getTemplates() may expose internal representation by returning PackageTask.templates  At PackageTask.java:[line 582]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getAdditionalResources() may expose internal representation by returning PackageTask.additionalResources  At PackageTask.java:[line 68]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getWinConfig() may expose internal representation by returning PackageTask.winConfig  At PackageTask.java:[line 452]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getAdditionalModules() may expose internal representation by returning PackageTask.additionalModules  At PackageTask.java:[line 56]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getLinuxConfig() may expose internal representation by returning PackageTask.linuxConfig  At PackageTask.java:[line 296]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.macConfig(Closure) may expose internal representation by returning PackageTask.macConfig  At PackageTask.java:[line 324]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getVmArgs() may expose internal representation by returning PackageTask.vmArgs  At PackageTask.java:[line 440]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getScripts() may expose internal representation by returning PackageTask.scripts  At PackageTask.java:[line 552]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setAdditionalResources(List) may expose internal representation by storing an externally mutable object into PackageTask.additionalResources  At PackageTask.java:[line 72]
